name,category,profile,earths,property,division,area,region,data,akt,edition,archeology,hydrology,hunting,geology,deforest,fishery,agricultur,building,tourism,shape_leng,shape_area,_prop,_prop_2,_region,_square_ga,_category,_type_1,_type_2,photo_url,sequrity,test,Лист8_Field2,Лист8_Field3,Лист8_Field4,Лист8_Field5,Лист8_Field6,name_2
Народный парк,памятник природы,комплексный,земли населенных пунктов,Региональная,72:25:04 02 001:0001,72,г. Ишим,2012/01/17,Постановление Правительства Тюменской области №8-п,"ПП ТО №8-п от 16.01.2012г; ПП ТО №425-п от 15.10.2012г; ПП ТО №482-п от 21.11.2012г; ПП ТО №43-п от 10.02.2016г, ПП ТО №430-п от 03.07.2020 г.",,,,,Запрещено,,Запрещено,Запрещено,Разрешено,6793.06310350561,2321051.24831695,Региональный,reg_pam_prir,TYM,"72,00",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/zf61zPd8/image.jpg ,,,Памятник природы,г. Ишим,"Растительность: ковыль перистый.Ландшафт, представленный сосняком искусственного происхождения с участками кленовых, тополевых и березовых лесов.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Народный парк
Новоаракчинский,памятник природы,комплексный,земли особо охраняемых территорий и объектов,,"72:12:15 03 001:0056; 72:12-9.4",318.463012695312,Нижнетавдинский,2008/07/18,Постановление Правительства Тюменской области №198-п,"ПП ТО №132-п от 18.04.2011г; ПП ТО №293-п от 22.07.2013г",,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,16531.8831572192,10982555.709494,Региональный,reg_pam_prir,TYM,"318,46",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/yYcxw08D/image.jpg ,,,Памятник природы,Нижнетавдинский район,"Растительность: лилия кудреватая, воронец колосистый, фегоптерис связывающий и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Новоаракчинский
Полуяновский бор,памятник природы,комплексный,"земли лесного фонда,земли поселений",,"72:05:00 00 000:0119; 72:05-9.1",554.841979980469,Вагайский,1968/08/22,Решение Исполнительного комитета Тюменской области Совета Депутатов трудящихся №515,"Решение ИК ТО Совета ДТ №515 от 22.08.1968 г., ПП ТО №400-п от 03.10.2012 г., ПП ТО №482-п от 21.11.2012 г., ПП ТО №196-п от 16.04.2021 г.",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,19736.7731046939,19783882.3962771,Региональный,reg_pam_prir,TYM,"554,84",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/ZqbYd3cM/image.jpg ,,,Памятник природы,Вагайский район,"Орнитофауна: орлан-белохвост, коростель.Растительность: фегоптерис связывающий, лилия кудреватая, подмаренник трехцветковый и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Полуяновский бор
Гусиный остров,памятник природы,комплексный,"земли населенных пунктов, земли сельскохозяйственного назначения",,"72:01:06 04 001:0013; 72:01-9.1",11.5,Абатский,2007/03/26,Постановление Правительства Тюменской области №55-п,"ПП ТО №81-п от 19.03.2008г; ПП ТО №132-п от 18.04.2011г; ПП ТО №388-п от 25.08.2012г; ПП ТО №76-п от 04.03.2013г",,Запрещено,,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,4367.26277215731,372848.142014446,Региональный,reg_pam_prir,TYM,"11,50",Памятник природы,Производственный,ООПТ с сельскохозяйственной деятельностью,https://i.postimg.cc/sgjgfMKr/image.jpg,,,Памятник природы,Абатский район,Ископаемые палеонтологические объекты.,"Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Гусиный остров
Куньякский,государственный природный заказник,"комплексный, зоологический",земли лесного фонда,,72.18.2.84,116215.828125,Уватский,2000/06/05,Решение Губернатора Тюменской области №558-р,"РГ ТО №558-р от 05.06.2000 г., ПП ТО №195-п от 16.04.2021 г.",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,287555.477181749,4347386851.25416,Региональный,reg_zac,TYM,"116215,83",государственный природный заказник,Производственный,ООПТ с нефтегазовым освоением,https://i.postimg.cc/nzBjfWYz/image.jpg,,,государственный природный заказник,Уватский район,"Орнитофауна: скопа, большой кроншнеп, обыкновенный осоед, турпан, коростель.Млекопитающие: лесной северный олень, лось, бурый медведь, соболь, ондатра, горностай, рысь, заяц-беляк, росомаха.Растительность: лобария лёгочная, корневищник горный, фегоптерис связывающий, вероника Крылова,кубышка малая, камнеломка болотная, пальчатокоренник пятнистый, пальчатокоренникТраунштейнера, пальчатокоренник Руссова и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Куньякский
Марьино ущелье,памятник природы,комплексный,земли лесного фонда,,72:09:14 08 001:0146,26.8780002593994,Исетский,2005/04/04,Постановление Администрации Тюменской области №61-пк,"ПА ТО №61-пк от 04.04.2005 г., ПП ТО №79-п от 04.04.2006 г.; ПП ТО №201-п от 18.07.2008 г.; ПП ТО №132-п от 18.04.2011 г.; ПП ТО №388-п от 25.09.2012 г.; ПП ТО №76-п от 04.03.2013 г., ПП ТО",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,3705.95766031819,877865.796734687,Региональный,reg_pam_prir,TYM,"26,88",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/SRVKybXy/image.jpg,,,Памятник природы,Исетский район,"Растительность: крупноцветковый, ковыли Залесского, перистый, коровяк фиолетовый, адонис весенний и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Марьино ущелье
Озерно-болотный комплекс «Ишимбай»,памятник природы,комплексный,не определена,,,119.236503601074,Нижнетавдинский,1999/02/23,Решение Губернатора Тюменской области №121-р,"Решение Губернатора ТО №121-р от 23.02.1999 г.; ПП ТО №116-п от 11.03.2020 г",,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,7146.28909500096,3287309.19418935,Региональный,reg_pam_prir,,"119,23",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/V6CGQzVC/image.jpg,,,Памятник природы,Нижнетавдинский район,Растительность: липа сердцевидная.Сообщество кустарниково-сфагновых болот и сплавины оз. Ишимбай.,"Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Озерно-болотный комплекс «Ишимбай»
Омутинский,государственный природный заказник,комплексный,земли лесного фонда,,,5015.11376953125,Омутинский,1987/05/19,Решение Исполнительного комитета Совета Народных Депутатов Тюменской области №82,"Решение Исполнительного комитета Омутинского районного Совета народных депутатов Тюменской области от 19.05.1987 № 82; Постановление Правите",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,58697.8565496741,162861410.121696,Региональный,reg_zac,TYM,"5015,11",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/d1rBN4hR/image.jpg,,,государственный природный заказник,Омутинский район,"Орнитофауна: орлан-белохвост, сапсан, кречет, беркут.Млекопитающие: лось, косуля, кабан, куница, лисица, хорь.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Омутинский
Успенское,памятник природы,комплексный,земли населенных пунктов,,72:17:22 01 005:0154,5.92049980163574,Тюменский,2000/03/31,Решение Губернатора Тюменской области №297-р,"ПП ТО №120-п от 19.04.2013; ПП ТО №244-п от 24.04.2020",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,2064.10305991337,199421.510565948,Региональный,reg_pam_prir,TYM,"5,92",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/DfgF3mPv/image.jpg ,,,Памятник природы,Тюменский район,"Орнитофауна: большой подорлик, беркут, орлан-белохвост, сапсан и др.Млекопитающие: бобр, лось, куница и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Успенское
Шашовский (участок 1),памятник природы,комплексный,земли особо охраняемых территорий и объектов,Региональная,72:19:14 06 001:0404,636.297973632812,Упоровский,2005/04/04,Постановление Администрации Тюменской области №60-пк,"ПА ТО №60-пк от 04.04.2005г, ПП ТО №79-п от 04.04.2006г; ПП ТО №69-п от 10.03.2009г; ПП ТО №132-п от 18.04.2011г; ПП ТО №293-п от 22.07.2013г, ПП ТО №48-п от 05.02.2021г.",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,21464.939456849,20692300.6008999,Региональный,reg_pam_prir,TYM,"636,29759",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/vB2QjLCB/image.jpg,,,,,,,,Шашовский (участок 1)
Козлов мыс,охранная зона,комплексный,земли населенных пунктов,Региональная,72:17:2:55,64.9499969482422,Тюменский,2016/11/25,Постановление Губернатора Тюменской области №212,ПП ТО №212 от 25.11.2016г,Разрешено,Запрещено,Запрещено,Запрещено,Запрещено,,,Запрещено,Разрешено,23805.4772979777,2184945.09953598,Региональный,reg_pam_prir,TYM,"85,90",Памятник природы,Непроизводственный,Рекреационные,,,,Памятник природы,Тюменский район,"Орнитофауна: орлан-белохвост. Растительность: ирис низкий, ковыль перистый. Музей-заповедник: «Андреевское озеро», древний могильник. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Козлов мыс
Клепиковский,государственный природный заказник,комплексный,земли сельскохозяйственного назначения,,"72:10:20 05 001:0003; 72:10-9.1",12925.3896484375,Ишимский,1996/04/22,Решение Администрации Тюменской области №283-р,ПП ТО №218-п от 22.04.2021 г.,Нет данных,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,86559.7279370174,403409559.135533,Региональный,reg_zac,TYM,"12925,30",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/P579BV50/image.jpg,,,государственный природный заказник,Ишимский муниципальный район,"Орнитофауна: серая и белая куропатки, тетерев и др.Млекопитающие: лось, косуля, колонок, куница, барсук, хорь.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Клепиковский
Урочище Бузан,памятник природы,комплексный,земли сельскохозяйственного назначения,,72:21:13 15 004:0004,6.82999992370605,Ялуторовский,2000/06/05,Решение Губернатора Тюменской области №560-р,"РГ ТО №560-р от 05.06.2000 г., ПП ТО №194-п от 16.04.2021 г.",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,2333.66781379223,224467.642130815,Региональный,reg_pam_prir,TYM,"6,83",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/yYbM7RgH/image.jpg ,,,Памятник природы,Ялуторовский район,"Растительность: ковыль перистый, тимьян Маршалла, коровяк фиолетовый, скрученноостник Шелля и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Урочище Бузан
Рахимовский,памятник природы,палеонтологический,земли особо охраняемых территорий и объектов,Региональная,72:05:11 07 002:0100,867.27099609375,Вагайский,2005/04/04,Постановление Администрации Тюменской области №62-пк,"ПП ТО №79-п от 04.04.2006г; ПП ТО №204-п от 18.07.2008г",Разрешено,Запрещено,Разрешено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,24777.6137143116,29554617.0529092,Региональный,reg_pam_prir,TYM,"867,27",Памятник природы,Производственный,ООПТ с сельскохозяйственной деятельностью,https://i.postimg.cc/BZgg5G47/image.jpg ,,,Памятник природы,Вагайский район,"Растительность: кувшинка чисто-белая, нимфейник щитолистный, красотка-девушка и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Рахимовский
Юргинский,государственный природный заказник,"комплексный, зоологический",не определена,,72:20-9.1,8144.3798828125,Юргинский,1963/07/25,Решение Исполнительного комитета Тюменской области Совета Депутатов трудящихся №293,"ПА ТО №73-пк от 29.07.2004г, ПА ТО №149-пк от 22.11.2004г, ПП ТО №316-п от 11.11.2009г, ПП ТО №132-п от 18.04.2011г, ПП ТО №426-п от 15.10.2012г, ПП ТО №59-п от 21.02.2013г, ПП ТО №632-",Нет данных,Запрещено,Запрещено,Нет данных,Разрешено,Разрешено,Запрещено,Запрещено,Разрешено,228103.8170049,284752859.635074,Региональный,reg_zac,TYM,"8144,38",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/52DKPHPV/image.jpg,,,государственный природный заказник,Юргинский район,"Орнитофауна: орлан-белохвост, беркут, кречет, сапсан.Млекопитающие: бурозубка, заяц-беляк, бобр речной, куница, горностай, норка, лисица и др. Растительность: венерин башмачок крапчатый.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Юргинский
Окрестности села Вагай,памятник природы,комплексный,"земли лесного фонда, земли поселений",Региональная,"72:05:10 09 001:0887, 72:05:00 000:0275",62.8899993896484,Вагайский,1968/08/22,Решение Исполнительного комитета Тюменской области Совета Депутатов трудящихся №515,"Решение ИК ТО Совета ДТ №515 от 22.08.1968 г., ПП ТО №400-п от 03.10.2012 г., ПП ТО №482-п от 21.11.2012 г., ПП ТО №196-п от 16.04.2021 г.",Разрешено,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,11108.1843897499,2225872.83756713,Региональный,reg_pam_prir,TYM,"62,89",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/2yj0qn54/image.jpg,,,,,,,,Окрестности села Вагай
Червишевский,памятник природы,комплексный,земли лесного фонда,,72:17:23 11 004:0190,12.8666000366211,Тюменский,2000/03/31,Решение Губернатора Тюменской области №297-р,"ПП ТО №120-п от 19.04.2013; ПП ТО №244-п от 24.04.2020",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,3105.78408947371,425893.312452601,Региональный,reg_pam_prir,TYM,"12,87",Памятник природы,Непроизводственный,Рекреационные,https://i.postimg.cc/5t6j6LpS/image.jpg ,,,Памятник природы,Тюменский район,Является элементом ландшафтного разнообразия - березняком естественного происхождения в условиях повышенной антропогенной нагрузки.,"Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Червишевский
Стершиный,государственный природный заказник,"комплексный, зоологический",не определена,,72:18:00 00 000:2764,44566.875,Уватский,1998/09/08,Решение Губернатора Тюменской области №703-р,"РГ ТО №703-р от 08.09.1998 г.; РГ ТО №275-р от 21.05.2001 г.; РА ТО №59-рк от 05.04.2004 г.; ПП ТО №130-п от 19.03.2020г",,,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Разрешено,201565.26547495,1693307432.92341,Региональный,reg_zac,TYM,"44566,87",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/FzKxFmPp/1.jpg,,,,,,,,Стершиный
"Шашовский (участки 2, 3)",памятник природы,палеонтологический,"земли сельскохозхяйственного назначения, земли населенных пунктов",Региональная,"72:19:14 05 001:0077, 72:19:02 07 001:0029",4.45510005950928,Упоровский,2005/04/04,Постановление Администрации Тюменской области №60-пк,"ПА ТО №60-пк от 04.04.2005г, ПП ТО №79-п от 04.04.2006г; ПП ТО №69-п от 10.03.2009г; ПП ТО №132-п от 18.04.2011г; ПП ТО №293-п от 22.07.2013г, ПП ТО №48-п от 05.02.2021г.",Разрешено,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,3092.55744646001,158867.768896897,Региональный,reg_pam_prir,TYM,"4,45513",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/zvLRPfts/2-3.jpg,,,,,,,,"Шашовский (участки 2, 3)"
Стершиный-2,государственный природный заказник,"комплексный, зоологический",не определена,,72:16:00 00 000:1473,49464.92578125,Тобольский,1998/12/07,Решение Губернатора Тюменской области №952-р,"РГ ТО №952-р от 07.12.1998 г.; РГ ТО №275-р от 21.05.2001 г.; ПП ТО №130-п от 19.03.2020г",,,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Разрешено,265374.527864642,1864297162.9098,Региональный,reg_zac,TYM,"49464,92",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/nVw4KyS8/2.jpg,,,,,,,,Стершиный-2
Юртоборовский,памятник природы,комплексный,земли особо охраняемых территорий и объектов,Региональная,72:22:11 13 001:0002,37.1777000427246,Ярковский,2012/01/16,Постановление Правительства Тюменской области №9-п,"ПП ТО №9-п от 16.01.2012 г., ПП ТО №482-п от 21.11.2012 г., ПП ТО №378-п от 05.07.2021 г.",,,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,5027.20597338343,1262912.38812038,Региональный,reg_pam_prir,TYM,"37,18",Памятник природы,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/zXgLkC1t/image.jpg ,,,Памятник природы,Ярковский район,"Растительность: башмачок крапчатый, пальчатокоренник Фукса, кокушник длиннорогий и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Юртоборовский
Успенский,государственный природный заказник,комплексный,земли населенных пунктов,,,4253.93994140625,Тюменский,1963/07/25,Решение Исполнительного комитета Тюменского областного Совета депутатов трудящихся № 293,ПП ТО №57-п от 04.03.2019 г,,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,,113687.538891257,150699059.237786,Региональный,reg_zac,TYM,"4253,94",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/bYbnbZnn/image.jpg,,,государственный природный заказник,Тюменский район,"Орнитофауна: большой подорлик, беркут, орлан-белохвост, сапсан, скопа, кречет и др.Млекопитающие: лесной бобр, лось, куница и др.Растительность: кувшинка четырёхгранная и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Успенский
Викуловский,государственный природный заказник,"комплексный, зоологический","земли лесного фонда, земли сельскохозяйственного назначения",,72:06:2:90,75995.7421875,Викуловский,1984/12/27,Решение Исполнительного комитета Тюменской области Совета Народных Депутатов №390,"Решение ИК ТО Совета НД №390 от 27.12.1984г, ПП ТО №14-п от 22.01.2021 г.",,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,305269.078505886,2546898941.31198,Региональный,reg_zac,TYM,"75995,74",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/jjp5dhZF/image.jpg,,,государственный природный заказник,Викуловский муниципальный район,"Орнитофауна: журавль-красавка, кулик-сорока, серая неясыть, большой кроншнеп, сокол-сапсан, филин, беркут, малая крачка и др.  Млеокпитающие: ёж обыкновенный, косуля, лось, кабан, барсук, куница, лисица, хорь, бобр и др.Растительность: ужовник обыкновенный .мякотница однолистная, ятрышник шлемоносный, зверобой пушистый, липа сердцелистная, мытник мохнатоколосы, вероника Крылова.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Викуловский
Алабуга,государственный природный заказник,"комплексный, зоологический","земли лесного фонда, земли сельскохозяйственного назначения",,72:03:00 00 002:0013,24181.87890625,Аромашевский,1996/04/29,Решение Администрации Тюменской области №307-р,"РА ТО №307-р от 29.04.1996 г., ПП ТО №530-п от 03.09.2021 г.",Разрешено,Запрещено,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,128924.863196074,813552872.757999,Региональный,reg_zac,TYM,"24181,88",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/tJ5CkGyK/image.jpg,,,государственный природный заказник,Аромашевский муниципальный район,"Орнитофауна: серая и белая куропатки, сорокопут серый, серая неясыть, орлан-белохвост, большая белая цапля, турпан, филин и др.Млекопитающие: лось, косуля, бурый медведь, горностай, колонок и др.Растительность: башмачок настоящий, башмачок крупноцветковый, кубышка малая, кувшинка чисто-белая, пиретрум щитковидный.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Алабуга
Афонский,государственный природный заказник,"комплексный, зоологический","земли лесного фонда, земли сельскохозяйственного назначения",,72:11:00 00 002:0007,17496.359375,Казанский,1997/08/12,Решение Губернатора Тюменской области № 479-р,"Распоряжение Губернатора ТО №479-р от 12.08.1997 г., ПП ТО №173-п от 01.04.2021 г.",,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,102412.144731603,541051421.084362,Региональный,reg_zac,TYM,"17496,36",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/76m4b9LM/image.jpg,,,государственный природный заказник,"Казанский муниципальный район,","Орнитофауна: пискулька, обыкновенный осоед, степной лунь, большой подорлик, орлан-белохвост, серая куропатка и др.Млекопитающие: еж обыкновенный, бурозубка, хорек лесной, лось, косуля, кабан, заяц-беляк, куница, лисица, барсук. ","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Афонский
Гузенеево,государственный природный заказник,комплексный,"земли водного фонда, земли лесного фонда, земли особо охраняемых территорий и объектов, земли сельскохозяйственного назначения",,"72:17:09 07 001:0094, 72:17:09 07 001:0093, 72:17:09 07 001:0095, 72:17:09 07 001:0096",10670,"Нижнетавдинский, Тюменский",2005/10/17,Постановление Правительства Тюменской области №200-п,"ПП ТО №200-п от 17.10.2005г., ПП ТО №166-п от 13.07.2006г; ПП ТО №197-п от 31.08.2007г; ПП ТО  №217-п от 04.07.2011г, ПП ТО №59-п от 21.02.2013г, ПП ТО №149-п от 25.03.2021г.",,Нет данных,Запрещено,Запрещено,Запрещено,Разрешено,Запрещено,Запрещено,Разрешено,104428.787102036,366452114.053923,Региональный,reg_zac,TYM,"10670,00",государственный природный заказник,Производственный,ООПТ с лесопромышленным комплексом,https://i.postimg.cc/ZKsJ5cqx/image.jpg,,,государственный природный заказник,Тюменский и Нижнетавдинский муниципальные районы,"Орнитофауна: дубровник, чернозобая гагара, орлан белохвост. Растительность: кубышка малая, башмачок крапчатый, башмачок крупноцветковый, дремлик болотный, мякотница однолистная, липа сердцевидная, щитовник мужской.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Гузенеево
Дубынский,государственный природный заказник,"комплексный, биологический",земли лесного фонда,,72:11:00 00 002:0008,11764.6796875,Казанский,2001/07/26,Решение Администрации Тюменской области №496-р,"ПП ТО №124-п от 02.04.2018г., ПП ТО №16-п от 22.01.2021 г.",,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,106840.11793027,368131115.848615,Региональный,reg_zac,TYM,"11764,68",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/gJpWTtMm/image.jpg,,,государственный природный заказник,Казанский муниципальный район,"Орнитофауна: большой подорлик, орлан-белохвост, краснозобая казарка, кудрявый пеликан, пискулька, малая выпь.Млекопитающие: еж обыкновенный, корсак, заяц-русак, тушканчик, лось, косуля, кабан, лесная куница, ондатра, лисица и заяц-беляк.Растительность: вишня кустарниковая, вероника Крылова.Входит в состав водно-болотного угодья международного значения «Тоболо-Ишимская лесостепь».","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Дубынский
Ереминский,государственный природный заказник,"комплексный, зоологический",земли сельскохозяйственного назначения,,,5175,Абатский,1995/06/29,Решение Администрации Тюменской области №521-р,ПП ТО №13-п от 22.01.2021 г.,,Запрещено,Запрещено,Запрещено,Запрещено,Нет данных,Запрещено,Запрещено,Разрешено,57624.1850106334,167270808.557672,Региональный,reg_zac,TYM,"5175,00",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/W4LLdfcg/image.jpg,,,государственный природный заказник,Абатский муниципальный район,"Орнитофауна: орлан-белохвост, краснозобая казарка; пискулька, серая куропатка, коростель, скопа, полевой лунь. Млекопитающие: еж обыкновенный, бурозубка, косуля, лось, кабан, барсук, степной хорь, лисица. Растительность: башмачок крупноцветковый, башмачок настоящий.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Ереминский
Иевлевский,государственный природный заказник,"комплексный, зоологический",не определена,,72.22.2.91,13514.6904296875,Ярковский,1963/07/25,Решение Исполнительного комитета Тюменской области Совета Депутатов трудящихся №293,"ПА ТО №73-пк от 29.07.2004г, ПА ТО №149-пк от 22.11.2004г, ПП ТО №316-п от 11.11.2009г, ПП ТО №132-п от 18.04.2011г, ПП ТО №426-п от 15.10.2012г, ПП ТО №59-п от 21.02.2013г, ПП ТО №632-",,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,Запрещено,Запрещено,Разрешено,227958.619929748,468025789.419618,Региональный,reg_zac,TYM,"13514,69",государственный природный заказник,Непроизводственный,Рекреационные,https://i.postimg.cc/MT5hr6Mm/image.png,,,государственный природный заказник,Ярковский район,"Орнитофауна: филин, коростель.Растительность: липа сердцевидная.Эталонные участки ландшафтов, типичных для южной тайги и подтайги.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Иевлевский
Кабанский,государственный природный заказник,"комплексный, зоологический",не определена,,,21883.359375,Сладковский,1981/05/14,Решение Исполнительного комитета Тюменской области Совета Народных Депутатов №147,"Решение ИК ТО Совета НД №147 от 14.05.1981г; РГ ТО №379-р от 02.07.1997г; ПП ТО №174-п от 01.04.2021 г.",,,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Запрещено,Разрешено,141173.560345761,689414254.638169,Региональный,reg_zac,TYM,"21883,36",государственный природный заказник,Непроизводственный,ООПТ с сельскохозяйственной деятельностью,https://i.postimg.cc/brv4771c/image.jpg,,,государственный природный заказник,Сладковский район,"Орнитофауна: орлан-белохвост, краснозобая казарка, лебедь-шипун; луговой лунь, малая выпь, большой баклан.Млекопитающие: большой тушканчик, джунгарский хомячок, косуля, кабан, заяц-беляк, лисица, хомяк, суслики.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Кабанский
Каменское,памятник природы,комплексный,земли сельскохозяйственного назначения,,72.17.2.56,5,Тюменский,2000/03/31,Решение Губернатора Тюменской области №297-р,"ПП ТО №120-п от 19.04.2013; ПП ТО №244-п от 24.04.2020",Разрешено,,Запрещено,Запрещено,Запрещено,,Запрещено,Запрещено,Разрешено,1980.24345215279,170455.629391751,Региональный,reg_pam_prir,TYM,"5,00",Памятник природы,Непроизводственный,Селитебные,https://i.postimg.cc/mDm5ymJd/image.jpg,,,Памятник природы,Тюменский район,"Млекопитающие: заяц-беляк, бурозубка. Растительность: сосна, береза повислая, крушина ломкая,  ива шерстистопобеговая и др.","Департамент по охране, контролю и регулированию использования объектов животного мира и среды их обитания Тюменской области",,Каменское
